Date,Time,Temperature (dht11),humidity air (dht11),humidity soil1 (capacitive soil moisture),humidity soil2 (direct metal electrode)
Tue Oct 22 2019,8:05:19,27,95,293,554
Tue Oct 22 2019,8:15:25,27,95,293,553
Tue Oct 22 2019,8:25:30,27,95,293,552
Tue Oct 22 2019,8:35:38,27,95,294,552
Tue Oct 22 2019,8:45:43,27,95,293,552
Tue Oct 22 2019,8:55:48,27,95,293,552
Tue Oct 22 2019,9:05:55,27,95,293,552
Tue Oct 22 2019,9:16:00,28,95,293,550
Tue Oct 22 2019,9:26:05,28,95,292,549
Tue Oct 22 2019,9:36:11,28,95,291,549
Tue Oct 22 2019,9:46:16,28,95,291,548
Tue Oct 22 2019,9:56:22,28,95,291,546
Tue Oct 22 2019,10:06:28,28,95,291,546
Tue Oct 22 2019,10:16:39,28,95,286,545
Tue Oct 22 2019,10:26:47,29,95,288,544
Tue Oct 22 2019,10:36:54,29,95,288,542
Tue Oct 22 2019,10:47:03,30,95,286,541
Tue Oct 22 2019,10:57:13,31,95,286,541
Tue Oct 22 2019,11:07:19,32,95,289,540
Tue Oct 22 2019,11:17:26,33,95,291,537
Tue Oct 22 2019,11:27:32,33,95,291,536
Tue Oct 22 2019,11:37:40,33,95,293,533
Tue Oct 22 2019,11:58:02,32,95,288,529
Tue Oct 22 2019,12:18:18,32,95,291,521
Tue Oct 22 2019,12:28:26,32,95,291,517
Tue Oct 22 2019,12:38:33,33,95,290,514
Tue Oct 22 2019,12:48:39,33,94,289,513
Tue Oct 22 2019,12:58:45,32,94,288,512
Tue Oct 22 2019,13:08:51,32,93,286,509
Tue Oct 22 2019,13:18:58,31,95,284,506
Tue Oct 22 2019,13:39:14,31,95,281,505
Tue Oct 22 2019,13:49:16,31,95,280,501
Tue Oct 22 2019,13:59:22,30,95,279,499
Tue Oct 22 2019,14:09:22,30,95,278,496
Tue Oct 22 2019,14:19:28,30,95,277,495
Tue Oct 22 2019,14:29:35,30,95,276,493
Tue Oct 22 2019,14:39:41,30,95,274,492
Tue Oct 22 2019,14:49:45,30,95,273,489
Tue Oct 22 2019,14:59:50,30,95,273,487
Tue Oct 22 2019,15:09:57,30,95,272,486
Tue Oct 22 2019,15:20:04,30,95,271,485
Tue Oct 22 2019,15:30:08,30,95,270,484
Tue Oct 22 2019,15:40:15,30,95,268,483
Tue Oct 22 2019,15:50:21,30,95,268,481
Tue Oct 22 2019,16:00:23,30,95,267,478
Tue Oct 22 2019,16:10:32,30,95,266,477
Tue Oct 22 2019,16:20:34,30,95,266,476
Tue Oct 22 2019,16:30:42,29,95,265,476
Tue Oct 22 2019,16:40:46,29,95,265,475
Tue Oct 22 2019,17:11:13,29,95,264,474
Tue Oct 22 2019,17:31:27,29,95,262,470
Tue Oct 22 2019,17:41:31,29,95,262,470
Tue Oct 22 2019,17:51:37,29,95,262,469
Tue Oct 22 2019,18:01:44,29,95,261,468
Tue Oct 22 2019,18:11:51,29,95,261,468
Tue Oct 22 2019,18:21:56,29,95,261,468
Tue Oct 22 2019,18:31:57,28,95,261,466
Tue Oct 22 2019,18:42:04,28,95,260,466
Tue Oct 22 2019,18:52:10,28,95,260,465
Tue Oct 22 2019,19:02:17,28,95,259,465
Tue Oct 22 2019,19:12:23,28,95,259,465
Tue Oct 22 2019,19:32:47,28,95,257,465
Tue Oct 22 2019,19:42:49,28,95,258,463
Tue Oct 22 2019,19:52:56,28,95,257,463
Tue Oct 22 2019,20:03:02,28,95,259,463
Tue Oct 22 2019,20:13:09,28,95,257,463
Tue Oct 22 2019,20:23:12,28,95,257,463
Tue Oct 22 2019,20:33:19,28,95,257,461
Tue Oct 22 2019,20:53:35,28,95,256,462
Tue Oct 22 2019,21:03:41,28,95,256,461
Tue Oct 22 2019,21:13:48,28,95,256,461
Tue Oct 22 2019,21:23:51,28,95,256,461
Tue Oct 22 2019,21:33:57,28,95,256,461
Tue Oct 22 2019,21:44:01,27,95,256,460
Tue Oct 22 2019,21:54:04,27,95,256,460
Tue Oct 22 2019,22:04:08,27,95,248,460
Tue Oct 22 2019,22:24:25,27,95,255,454
Tue Oct 22 2019,22:34:32,27,95,255,459
Tue Oct 22 2019,22:44:38,27,95,255,459
Tue Oct 22 2019,22:54:41,27,95,255,458
Tue Oct 22 2019,23:15:02,27,95,255,458
Tue Oct 22 2019,23:35:19,27,95,254,457
Tue Oct 22 2019,23:45:25,27,95,255,456
Tue Oct 22 2019,23:55:31,27,95,255,456
Wed Oct 23 2019,0:05:38,27,95,255,456
